=== CoQui-style threshold scan on synthetic periodic LAPW ===
q=0 CoQui-normalized pivoted-Cholesky selection; fixed integer |G|^2 <= 12
windows: all->valence selects with bands 0..5 and evaluates 0,1,2; valence-only selects and evaluates 0,1,2
grid                     window              thresh   npts    Nmu   alpha      resid      fit-F      ERI-F   dEH/|EX|        dEX    occ-act
adaptive 14x50 + 14^3    all->valence       1.0e-02   4041      7    1.17   8.44e-03   1.64e-02   5.40e-01   3.13e-04   1.00e+00   9.88e-01
adaptive 14x50 + 14^3    all->valence       1.0e-03   4041     10    1.67   8.49e-04   1.38e-02   5.11e-01   4.56e-02   9.10e-01   7.08e-01
adaptive 14x50 + 14^3    all->valence       1.0e-04   4041     18    3.00   9.00e-05   1.31e-02   4.81e-01   5.81e-02   8.50e-01   5.45e-01
adaptive 14x50 + 14^3    all->valence       1.0e-05   4041     37    6.17   8.33e-06   9.17e-03   3.76e-01   1.65e-04   2.06e-01   2.47e-01
adaptive 14x50 + 14^3    all->valence       1.0e-06   4041     42    7.00   9.07e-07   8.08e-03   3.68e-01   6.51e-05   1.20e-01   1.82e-01
adaptive 14x50 + 14^3    all->valence       1.0e-08   4041     77   12.83   8.12e-09   4.99e-03   3.64e-01   5.87e-05   2.08e-02   1.29e-01
adaptive 14x50 + 14^3    valence-only       1.0e-02   4041      1    0.33   7.56e-03   9.43e-01   9.65e-01   7.88e-02   8.23e-01   8.26e-01
adaptive 14x50 + 14^3    valence-only       1.0e-03   4041      2    0.67   6.38e-05   8.82e-01   9.04e-01   8.95e-02   6.58e-01   5.96e-01
adaptive 14x50 + 14^3    valence-only       1.0e-04   4041      2    0.67   6.38e-05   8.82e-01   9.04e-01   8.95e-02   6.58e-01   5.96e-01
adaptive 14x50 + 14^3    valence-only       1.0e-05   4041      7    2.33   1.65e-06   5.57e-01   4.60e-01   5.83e-05   9.04e-02   2.19e-01
adaptive 14x50 + 14^3    valence-only       1.0e-06   4041      9    3.00   5.60e-07   4.72e-01   3.92e-01   5.83e-05   4.95e-02   1.19e-01
adaptive 14x50 + 14^3    valence-only       1.0e-08   4041     21    7.00   7.34e-09   1.22e-01   8.98e-02   5.83e-05   1.61e-03   1.84e-02
adaptive 26x86 + 18^3    all->valence       1.0e-02  10090      7    1.17   7.19e-03   1.67e-02   4.29e-01   2.00e-04   1.00e+00   9.91e-01
adaptive 26x86 + 18^3    all->valence       1.0e-03  10090     11    1.83   8.69e-04   1.45e-02   3.90e-01   4.60e-02   9.10e-01   7.29e-01
adaptive 26x86 + 18^3    all->valence       1.0e-04  10090     18    3.00   6.69e-05   1.38e-02   3.49e-01   5.87e-02   8.46e-01   5.27e-01
adaptive 26x86 + 18^3    all->valence       1.0e-05  10090     36    6.00   9.38e-06   9.70e-03   1.81e-01   7.05e-05   2.14e-01   2.54e-01
adaptive 26x86 + 18^3    all->valence       1.0e-06  10090     44    7.33   8.15e-07   8.36e-03   1.18e-01   4.54e-06   1.12e-01   1.70e-01
adaptive 26x86 + 18^3    all->valence       1.0e-08  10090     76   12.67   9.83e-09   5.02e-03   7.37e-02   4.44e-06   1.72e-02   6.09e-02
adaptive 26x86 + 18^3    valence-only       1.0e-02  10090      1    0.33   7.56e-03   9.42e-01   9.65e-01   8.01e-02   8.21e-01   8.25e-01
adaptive 26x86 + 18^3    valence-only       1.0e-03  10090      2    0.67   6.38e-05   8.82e-01   9.04e-01   9.10e-02   6.56e-01   5.96e-01
adaptive 26x86 + 18^3    valence-only       1.0e-04  10090      2    0.67   6.38e-05   8.82e-01   9.04e-01   9.10e-02   6.56e-01   5.96e-01
