m,weight_arm,threshold,rank,n_keep,n_candidates,n_mt_cand,n_int_cand,n_mt_piv,n_int_piv,mt_frac_piv,w_cand_min,w_cand_p10,w_cand_median,w_cand_p90,w_cand_max,w_cand_mean,w_piv_min,w_piv_p10,w_piv_median,w_piv_p90,w_piv_max,w_piv_mean,diag0,saturated,low_decile_frac,wall_s
512,true,1.00000000e-1,86,512,512,341,171,86,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,1.422755350312e-4,2.461946043964e-4,1.275340388979e-3,6.458827273496e-3,1.180905262064e-2,2.508397899640e-3,3.600339762046e-1,0,0.00000000,1.472902
512,true,3.00000000e-2,122,512,512,341,171,120,2,0.98360656,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,3.740673408191e-7,2.158462019910e-4,1.675276029521e-3,1.665071444614e-2,2.310932786032e-2,4.912130673552e-3,3.600339762046e-1,0,0.05737705,1.472902
512,true,1.00000000e-2,168,512,512,341,171,147,21,0.87500000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,3.740673408191e-7,1.680187587555e-5,2.358340535574e-3,1.614668620784e-2,2.310932786032e-2,5.965628390632e-3,3.600339762046e-1,0,0.04761905,1.472902
512,true,3.00000000e-3,238,512,512,341,171,195,43,0.81932773,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,3.740673408191e-7,1.680187587555e-5,2.774747722101e-3,1.614668620784e-2,2.310932786032e-2,6.455682519519e-3,3.600339762046e-1,0,0.03361345,1.472902
512,uniform,1.00000000e-1,1,512,512,341,171,1,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,4.848188812279e-13,4.848188812279e-13,4.848188812279e-13,4.848188812279e-13,4.848188812279e-13,4.848188812279e-13,1.445865286675e2,0,1.00000000,1.316294
512,uniform,3.00000000e-2,9,512,512,341,171,9,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,4.848188812279e-13,4.471678469117e-9,3.441874683501e-8,2.271662501692e-7,2.271662501692e-7,8.728339764410e-8,1.445865286675e2,0,1.00000000,1.316294
512,uniform,1.00000000e-2,28,512,512,341,171,28,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,4.848188812279e-13,1.504441470338e-8,1.885674303321e-4,2.910419326801e-4,3.582460053130e-4,1.498827585250e-4,1.445865286675e2,0,0.35714286,1.316294
512,uniform,3.00000000e-3,84,512,512,341,171,84,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.003291167217e-3,4.848188812279e-13,2.271662501692e-7,3.806056712777e-5,3.171220863280e-4,4.532818042528e-4,1.102876561454e-4,1.445865286675e2,0,0.27380952,1.316294
2048,true,1.00000000e-1,89,2048,2048,1365,683,89,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.014071472602e-3,2.158462019910e-4,2.798647239738e-4,5.674956612485e-4,6.517081531791e-3,1.111869171939e-2,2.209953834233e-3,3.614818541368e-1,0,0.00000000,16.599431
2048,true,3.00000000e-2,124,2048,2048,1365,683,124,0,1.00000000,4.848188812279e-13,1.871928849301e-6,5.632126972683e-3,1.614668620784e-2,2.310932786032e-2,8.014071472602e-3,8.924667170363e-7,2.249507227126e-4,1.160535907199e-3,1.643291541340e-2,2.310932786032e-2,4.585411825044e-3,3.614818541368e-1,0,0.07258065,16.599431
