pid=33905 start=1788811809
t=20s rss_mb=811 cpu=99.6
t=40s rss_mb=2063 cpu=65.8
t=60s rss_mb=1642 cpu=98.8
t=80s rss_mb=1711 cpu=98.0
t=100s rss_mb=1783 cpu=96.8
t=120s rss_mb=1853 cpu=98.4
t=140s rss_mb=688 cpu=98.9
t=160s rss_mb=731 cpu=97.7
t=180s rss_mb=712 cpu=98.2
t=200s rss_mb=356 cpu=99.0
t=220s rss_mb=430 cpu=98.8
t=240s rss_mb=390 cpu=99.3
t=260s rss_mb=153 cpu=99.4
t=280s rss_mb=249 cpu=99.3
t=300s rss_mb=217 cpu=97.7
t=320s rss_mb=228 cpu=99.6
t=340s rss_mb=268 cpu=99.5
t=360s rss_mb=115 cpu=98.4
t=380s rss_mb=194 cpu=98.7
t=400s rss_mb=130 cpu=87.7
t=420s rss_mb=159 cpu=96.4
t=440s rss_mb=157 cpu=98.2
t=460s rss_mb=205 cpu=99.1
t=480s rss_mb=177 cpu=96.8
t=500s rss_mb=218 cpu=99.2
t=520s rss_mb=91 cpu=74.1
t=540s rss_mb=88 cpu=70.5
t=560s rss_mb=113 cpu=94.0
t=580s rss_mb=131 cpu=93.7
t=600s rss_mb=98 cpu=94.9
t=620s rss_mb=156 cpu=82.8
t=640s rss_mb=138 cpu=82.9
t=660s rss_mb=127 cpu=90.0
t=680s rss_mb=113 cpu=92.2
t=700s rss_mb=119 cpu=97.4
t=720s rss_mb=126 cpu=91.5
CAP reached, killing
exit=137 end=1788812576
