check-targets: OK, 238 cargo test targets all accounted for in scripts/acceptance-targets.tsv
acceptance-wsl: logs in /private/tmp/claude-501/-Users-zerozaki07-tmp-libmuffintin/e260fabd-b225-4ee1-80e9-75310e7132bc/scratchpad/audit/baseline
RUN_EXIT foundation ranks=1 exit=0
RUN_EXIT foundation ranks=2 exit=0
RUN_EXIT foundation ranks=4 exit=0
RUN_EXIT dense_views ranks=1 exit=0
RUN_EXIT dense_views ranks=2 exit=0
RUN_EXIT dense_views ranks=4 exit=0
RUN_EXIT replicated_sum ranks=1 exit=0
RUN_EXIT replicated_sum ranks=2 exit=0
RUN_EXIT replicated_sum ranks=4 exit=0
RUN_EXIT tensor_sum ranks=1 exit=0
RUN_EXIT tensor_sum ranks=2 exit=0
RUN_EXIT tensor_sum ranks=4 exit=0
RUN_EXIT custom_reduce ranks=1 exit=0
RUN_EXIT custom_reduce ranks=2 exit=0
RUN_EXIT custom_reduce ranks=4 exit=0
RUN_EXIT algebra_sum ranks=1 exit=0
RUN_EXIT algebra_sum ranks=2 exit=0
RUN_EXIT algebra_sum ranks=4 exit=0
RUN_EXIT complex_scalar ranks=1 exit=0
RUN_EXIT complex_scalar ranks=2 exit=0
RUN_EXIT complex_scalar ranks=4 exit=0
RUN_EXIT sum_remap ranks=1 exit=0
RUN_EXIT sum_remap ranks=2 exit=0
RUN_EXIT sum_remap ranks=4 exit=0
RUN_EXIT replicated_contraction ranks=1 exit=0
RUN_EXIT replicated_contraction ranks=2 exit=0
RUN_EXIT replicated_contraction ranks=4 exit=0
RUN_EXIT ctr_2d ranks=1 exit=0
RUN_EXIT ctr_2d ranks=2 exit=0
RUN_EXIT ctr_2d ranks=4 exit=0
RUN_EXIT tensor_gemm ranks=1 exit=0
RUN_EXIT tensor_gemm ranks=2 exit=0
RUN_EXIT tensor_gemm ranks=4 exit=0
RUN_EXIT algebra_contraction ranks=1 exit=0
RUN_EXIT algebra_contraction ranks=2 exit=0
RUN_EXIT algebra_contraction ranks=4 exit=0
RUN_EXIT tensor_contract ranks=1 exit=0
RUN_EXIT tensor_contract ranks=2 exit=0
RUN_EXIT tensor_contract ranks=4 exit=0
RUN_EXIT contract_remap ranks=1 exit=0
RUN_EXIT contract_remap ranks=2 exit=0
RUN_EXIT contract_remap ranks=4 exit=0
RUN_EXIT dense_semantics ranks=1 exit=0
RUN_EXIT dense_semantics ranks=2 exit=0
RUN_EXIT dense_semantics ranks=4 exit=0
RUN_EXIT upstream_dense ranks=1 exit=0
RUN_EXIT upstream_dense ranks=2 exit=0
RUN_EXIT upstream_dense ranks=4 exit=0
RUN_EXIT subcomm_dense ranks=1 exit=0
RUN_EXIT subcomm_dense ranks=2 exit=0
RUN_EXIT subcomm_dense ranks=4 exit=0
RUN_EXIT plan_cache ranks=1 exit=0
RUN_EXIT plan_cache ranks=2 exit=0
RUN_EXIT plan_cache ranks=4 exit=0
RUN_EXIT model_training ranks=1 exit=0
RUN_EXIT model_training ranks=2 exit=0
RUN_EXIT model_training ranks=4 exit=0
RUN_EXIT selector ranks=1 exit=0
RUN_EXIT selector ranks=2 exit=0
RUN_EXIT selector ranks=4 exit=0
RUN_EXIT selection_objective ranks=1 exit=0
RUN_EXIT selection_objective ranks=2 exit=0
RUN_EXIT selection_objective ranks=4 exit=0
RUN_EXIT tensor_blas_fold ranks=1 exit=0
RUN_EXIT tensor_blas_fold ranks=2 exit=0
RUN_EXIT tensor_blas_fold ranks=4 exit=0
RUN_EXIT upstream_gemm4d ranks=1 exit=0
RUN_EXIT upstream_gemm4d ranks=2 exit=0
RUN_EXIT upstream_gemm4d ranks=4 exit=0
RUN_EXIT distributed_matrix ranks=1 exit=0
RUN_EXIT distributed_matrix ranks=2 exit=0
RUN_EXIT distributed_matrix ranks=4 exit=0
RUN_EXIT distributed_qr_svd ranks=1 exit=0
RUN_EXIT distributed_qr_svd ranks=2 exit=0
RUN_EXIT distributed_qr_svd ranks=4 exit=0
RUN_EXIT distributed_svd_paths ranks=1 exit=0
RUN_EXIT distributed_svd_paths ranks=2 exit=0
RUN_EXIT distributed_svd_paths ranks=4 exit=0
RUN_EXIT distributed_eigh ranks=1 exit=0
RUN_EXIT distributed_eigh ranks=2 exit=0
RUN_EXIT distributed_eigh ranks=4 exit=0
RUN_EXIT distributed_spd ranks=1 exit=0
RUN_EXIT distributed_spd ranks=2 exit=0
RUN_EXIT distributed_spd ranks=4 exit=0
RUN_EXIT distributed_tttp ranks=1 exit=0
RUN_EXIT distributed_tttp ranks=2 exit=0
RUN_EXIT distributed_tttp ranks=4 exit=0
RUN_EXIT distributed_mttkrp ranks=1 exit=0
RUN_EXIT distributed_mttkrp ranks=2 exit=0
RUN_EXIT distributed_mttkrp ranks=4 exit=0
RUN_EXIT distributed_tensor_svd ranks=1 exit=0
RUN_EXIT distributed_tensor_svd ranks=2 exit=0
RUN_EXIT distributed_tensor_svd ranks=4 exit=0
RUN_EXIT distributed_solve_factor ranks=1 exit=0
RUN_EXIT distributed_solve_factor ranks=2 exit=0
RUN_EXIT distributed_solve_factor ranks=4 exit=0
RUN_EXIT distributed_sparse_io ranks=1 exit=0
RUN_EXIT distributed_sparse_io ranks=2 exit=0
RUN_EXIT distributed_sparse_io ranks=4 exit=0
RUN_EXIT distributed_sparse_sum ranks=1 exit=0
RUN_EXIT distributed_sparse_sum ranks=2 exit=0
RUN_EXIT distributed_sparse_sum ranks=4 exit=0
RUN_EXIT distributed_sparse_gemm ranks=1 exit=0
RUN_EXIT distributed_sparse_gemm ranks=2 exit=0
RUN_EXIT distributed_sparse_gemm ranks=4 exit=0
RUN_EXIT distributed_sparse_fold ranks=1 exit=0
RUN_EXIT distributed_sparse_fold ranks=2 exit=0
RUN_EXIT distributed_sparse_fold ranks=4 exit=0
RUN_EXIT upstream_sparse_mp3 ranks=1 exit=0
RUN_EXIT upstream_sparse_mp3 ranks=2 exit=0
RUN_EXIT upstream_sparse_mp3 ranks=4 exit=0
RUN_EXIT distributed_sparse_transform ranks=1 exit=0
RUN_EXIT distributed_sparse_transform ranks=2 exit=0
