python_version,pyscf_version,basis_set_exchange_version,numpy_version,scipy_version,basis_name,basis_normalized_sha256,nuclear_model,light_speed_au,conv_tol,max_cycle,threads,gaunt,breit,method,energy_hartree,homo_hartree,converged,matrix_dimension,overlap_condition_number,seconds,pyscf_object,mo_energy_shape,mo_occ_shape,orbital_representation,occupation_semantics,spinor_degeneracy_recording,positive_energy_selection,mo_index,spin_channel,orbital_energy_hartree,occupation,reported_multiplicity
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,0,,-520.1653066175027,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,1,,-69.9029164024913,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,2,,-63.009605157977084,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,3,,-63.00960515795493,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,4,,-63.00960515792883,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,5,,-10.849286675684843,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,6,,-8.331314522620644,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,7,,-8.331314522608636,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,8,,-8.331314522605163,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v3z,8f33f8c9289dc77f54a97d4278cd106b419ed300e3dc065e0a87e886a71c8c43,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.054459290417,-0.5240433504174505,True,128,33494.641802282575,1.2330572919890983,pyscf.scf.hf.RHF,[128],[128],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,9,,-3.8250393334763246,2.0,1
